"pcon_code","average_a_level_grade"
"E14000530",7
"E14000531",5
"E14000532",9
"E14000533",4
"E14000534",6
"E14000535",6
"E14000536",6
"E14000537",6
"E14000538",8
"E14000539",6
"E14000540",7
"E14000541",6
"E14000543",6
"E14000544",6
"E14000545",6
"E14000546",5
"E14000547",7
"E14000548",7
"E14000549",5
"E14000550",8
"E14000551",6
"E14000552",4
"E14000553",6
"E14000554",5
"E14000555",5
"E14000556",5
"E14000557",6
"E14000558",6
"E14000559",6
"E14000560",8
"E14000561",4
"E14000562",6
"E14000563",3
"E14000564",5
"E14000565",5
"E14000566",6
"E14000567",8
"E14000568",4
"E14000569",6
"E14000570",6
"E14000571",7
"E14000572",6
"E14000573",NA
"E14000574",7
"E14000575",5
"E14000576",5
"E14000577",NA
"E14000578",6
"E14000579",5
"E14000580",NA
"E14000581",4
"E14000582",5
"E14000583",6
"E14000584",7
"E14000585",4
"E14000586",6
"E14000587",6
"E14000588",3
"E14000589",6
"E14000590",5
"E14000591",6
"E14000592",8
"E14000593",6
"E14000594",5
"E14000595",3
"E14000596",5
"E14000597",2
"E14000598",6
"E14000599",5
"E14000600",6
"E14000601",4
"E14000602",6
"E14000603",6
"E14000604",5
"E14000605",6
"E14000606",5
"E14000607",6
"E14000608",7
"E14000609",5
"E14000610",5
"E14000611",5
"E14000612",2
"E14000613",6
"E14000614",5
"E14000615",8
"E14000616",7
"E14000617",9
"E14000618",4
"E14000619",6
"E14000620",5
"E14000621",8
"E14000622",5
"E14000623",5
"E14000624",6
"E14000625",6
"E14000626",4
"E14000627",8
"E14000628",8
"E14000629",7
"E14000630",8
"E14000631",8
"E14000632",6
"E14000633",6
"E14000634",7
"E14000635",6
"E14000636",7
"E14000637",5
"E14000638",6
"E14000639",7
"E14000640",6
"E14000641",7
"E14000642",4
"E14000643",6
"E14000644",6
"E14000645",5
"E14000646",6
"E14000647",5
"E14000648",5
"E14000649",5
"E14000650",6
"E14000651",5
"E14000652",5
"E14000653",5
"E14000654",4
"E14000655",5
"E14000656",5
"E14000657",6
"E14000658",7
"E14000659",6
"E14000660",6
"E14000662",7
"E14000663",6
"E14000664",7
"E14000665",6
"E14000666",4
"E14000667",7
"E14000668",6
"E14000669",5
"E14000670",6
"E14000671",5
"E14000672",NA
"E14000673",6
"E14000674",8
"E14000675",6
"E14000676",7
"E14000677",5
"E14000678",6
"E14000679",10
"E14000680",8
"E14000681",6
"E14000682",6
"E14000683",6
"E14000684",5
"E14000685",7
"E14000686",7
"E14000687",8
"E14000688",4
"E14000689",6
"E14000690",6
"E14000691",6
"E14000692",6
"E14000693",7
"E14000694",7
"E14000695",6
"E14000696",4
"E14000697",7
"E14000698",7
"E14000699",8
"E14000700",6
"E14000701",6
"E14000702",5
"E14000703",8
"E14000704",5
"E14000705",5
"E14000706",NA
"E14000707",7
"E14000708",3
"E14000709",7
"E14000710",6
"E14000711",5
"E14000712",8
"E14000713",6
"E14000714",7
"E14000715",5
"E14000716",5
"E14000717",6
"E14000718",4
"E14000719",7
"E14000720",6
"E14000721",7
"E14000722",5
"E14000723",6
"E14000724",6
"E14000725",6
"E14000726",6
"E14000727",5
"E14000728",6
"E14000729",4
"E14000730",7
"E14000731",5
"E14000732",7
"E14000733",5
"E14000734",3
"E14000735",6
"E14000736",5
"E14000737",5
"E14000738",NA
"E14000739",5
"E14000740",4
"E14000741",6
"E14000742",5
"E14000743",6
"E14000744",7
"E14000745",7
"E14000746",7
"E14000747",5
"E14000748",6
"E14000749",7
"E14000750",5
"E14000751",7
"E14000752",7
"E14000753",7
"E14000754",NA
"E14000755",8
"E14000756",7
"E14000757",6
"E14000758",6
"E14000759",6
"E14000760",6
"E14000761",6
"E14000762",5
"E14000763",6
"E14000764",7
"E14000765",5
"E14000766",7
"E14000767",7
"E14000768",7
"E14000769",6
"E14000770",8
"E14000771",4
"E14000772",7
"E14000773",6
"E14000774",4
"E14000775",4
"E14000776",8
"E14000777",5
"E14000778",5
"E14000779",6
"E14000780",5
"E14000781",5
"E14000782",5
"E14000783",6
"E14000784",7
"E14000785",6
"E14000786",7
"E14000787",4
"E14000788",6
"E14000789",7
"E14000790",5
"E14000791",6
"E14000792",5
"E14000793",6
"E14000794",5
"E14000795",7
"E14000796",5
"E14000797",5
"E14000798",7
"E14000799",4
"E14000800",5
"E14000801",6
"E14000802",7
"E14000803",6
"E14000804",7
"E14000805",7
"E14000806",5
"E14000807",7
"E14000808",6
"E14000809",5
"E14000810",4
"E14000811",NA
"E14000812",6
"E14000813",5
"E14000814",6
"E14000815",7
"E14000816",7
"E14000817",7
"E14000818",6
"E14000819",4
"E14000820",5
"E14000821",6
"E14000822",5
"E14000823",6
"E14000824",7
"E14000825",5
"E14000826",5
"E14000827",5
"E14000828",6
"E14000829",7
"E14000830",7
"E14000831",5
"E14000832",6
"E14000833",7
"E14000834",6
"E14000835",4
"E14000836",7
"E14000837",6
"E14000838",6
"E14000839",5
"E14000840",5
"E14000841",5
"E14000842",5
"E14000843",6
"E14000844",6
"E14000845",6
"E14000846",6
"E14000847",6
"E14000848",6
"E14000849",5
"E14000850",6
"E14000851",4
"E14000852",4
"E14000853",5
"E14000854",4
"E14000855",6
"E14000856",5
"E14000857",NA
"E14000858",5
"E14000859",5
"E14000860",6
"E14000861",6
"E14000862",7
"E14000863",6
"E14000864",6
"E14000865",5
"E14000866",6
"E14000867",4
"E14000868",5
"E14000869",7
"E14000870",6
"E14000871",5
"E14000872",9
"E14000873",5
"E14000874",6
"E14000875",6
"E14000876",7
"E14000877",6
"E14000878",6
"E14000879",4
"E14000880",7
"E14000881",6
"E14000882",5
"E14000883",5
"E14000884",NA
"E14000885",8
"E14000886",7
"E14000887",6
"E14000888",5
"E14000889",8
"E14000890",5
"E14000891",5
"E14000892",4
"E14000893",7
"E14000894",7
"E14000895",6
"E14000896",8
"E14000897",6
"E14000898",7
"E14000899",6
"E14000900",5
"E14000901",NA
"E14000902",6
"E14000903",5
"E14000904",5
"E14000905",7
"E14000906",6
"E14000907",7
"E14000908",7
"E14000909",7
"E14000910",6
"E14000911",5
"E14000912",8
"E14000913",6
"E14000914",5
"E14000915",3
"E14000916",5
"E14000917",6
"E14000918",6
"E14000919",6
"E14000920",2
"E14000921",4
"E14000922",7
"E14000923",4
"E14000924",5
"E14000925",6
"E14000926",6
"E14000927",5
"E14000928",7
"E14000929",6
"E14000930",6
"E14000931",6
"E14000932",7
"E14000933",4
"E14000934",5
"E14000935",6
"E14000936",4
"E14000937",5
"E14000938",4
"E14000939",6
"E14000940",5
"E14000941",4
"E14000942",5
"E14000943",6
"E14000944",6
"E14000945",5
"E14000946",6
"E14000947",4
"E14000948",6
"E14000949",5
"E14000950",5
"E14000951",7
"E14000952",4
"E14000953",8
"E14000954",6
"E14000955",5
"E14000956",4
"E14000957",7
"E14000958",4
"E14000959",6
"E14000960",7
"E14000961",7
"E14000962",5
"E14000963",7
"E14000964",6
"E14000965",6
"E14000966",4
"E14000967",NA
"E14000968",6
"E14000969",7
"E14000970",NA
"E14000971",6
"E14000972",6
"E14000973",4
"E14000974",4
"E14000975",6
"E14000976",6
"E14000977",8
"E14000978",6
"E14000979",6
"E14000980",7
"E14000981",6
"E14000982",5
"E14000983",7
"E14000985",7
"E14000984",8
"E14000986",5
"E14000987",7
"E14000988",7
"E14000989",7
"E14000990",5
"E14000991",6
"E14000992",6
"E14000993",6
"E14000994",6
"E14000995",6
"E14000996",9
"E14000997",8
"E14000998",6
"E14000999",7
"E14001000",5
"E14001001",7
"E14001002",7
"E14001003",6
"E14001004",7
"E14001005",7
"E14001006",7
"E14001007",6
"E14001008",7
"E14001009",5
"E14001010",4
"E14001011",5
"E14001012",6
"E14001013",4
"E14001014",6
"E14001015",7
"E14001016",5
"E14001017",NA
"E14001018",6
"E14001019",6
"E14001020",6
"E14001021",7
"E14001022",4
"E14001023",6
"E14001024",8
"E14001025",6
"E14001026",6
"E14001027",7
"E14001028",6
"E14001029",4
"E14001030",5
"E14001031",6
"E14001032",6
"E14001033",5
"E14001034",4
"E14001035",6
"E14001036",6
"E14001037",6
"E14001038",5
"E14001039",6
"E14001040",6
"E14001041",7
"E14001042",7
"E14001043",6
"E14001044",7
"E14001045",4
"E14001046",7
"E14001047",7
"E14001048",7
"E14001049",4
"E14001050",5
"E14001051",5
"E14001052",6
"E14001053",6
"E14001054",NA
"E14001055",NA
"E14001056",8
"E14001058",5
"E14001057",1
"E14001059",10
"E14001060",5
"E14001061",8
"E14001062",7
